REST_ID,URL,COORD1,COORD2
101,https://www.zomato.com/amritsar/dominos-pizza-lawrence-road/info,31.6428300000,74.8736700000
102,https://www.zomato.com/amritsar/sip-n-breww-lawrence-road/info,31.6499108720,74.8789615184
103,https://www.zomato.com/amritsar/bombay-pavbhaji-original-ina-colony/info,31.6365968000,74.8755768000
104,https://www.zomato.com/amritsar/sanjha-chulha-lawrence-road/info,31.6453758730,74.8781025410
105,https://www.zomato.com/amritsar/sakhis-watz-kukin-ranjit-avenue/info,31.6117385549,74.9198478333
106,https://www.zomato.com/aurangabad/the-graduate-restaurant-1-nirala-bazar/info,19.8772917551,75.3590977192
107,https://www.zomato.com/aurangabad/amigos-kitchen-cidco/info,19.8771536530,75.3589465097
108,https://www.zomato.com/aurangabad/snt-tahari-house-shahgunj/info,19.8877408131,75.3441806138
109,https://www.zomato.com/aurangabad/kef-lounge-1-usmanpura/info,19.8660155465,75.3319621459
110,https://www.zomato.com/aurangabad/kfc-chikalthana/info,19.8757710493,75.3722512722
111,https://www.zomato.com/aurangabad/great-sagar-restaurant-shahgunj/info,19.8883798856,75.3212433681
112,https://www.zomato.com/aurangabad/yalla-yalla-usmanpura/info,19.8703660093,75.3270540386
113,https://www.zomato.com/aurangabad/saurabh-restaurant-midc/info,19.8616255479,75.3133985773
114,https://www.zomato.com/aurangabad/bhoj-restaurant-nirala-bazar/info,19.8782773841,75.3172891214
115,https://www.zomato.com/aurangabad/sagar-restaurant-shahgunj/info,19.8898516025,75.3274322301
116,https://www.zomato.com/aurangabad/dominos-pizza-nirala-bazar/info,19.8799730552,75.3237056360
117,https://www.zomato.com/aurangabad/smile-veg-restaurant-nirala-bazar/info,19.8799692717,75.3240251541
118,https://www.zomato.com/aurangabad/koyla-dum-biryanis-kebabs-1-cidco/info,19.8775288616,75.3640504181
119,https://www.zomato.com/aurangabad/pizza-hut-chikalthana/info,19.8757650585,75.3721801937
120,https://www.zomato.com/aurangabad/gayatri-mewad-nirala-bazar/info,19.8735402550,75.3284652159
121,https://www.zomato.com/bangalore/hammered-cunningham-road/info,12.9864154006,77.5951071829
122,https://www.zomato.com/bangalore/glens-bakehouse-indiranagar/info,12.9792863582,77.6407111064
123,https://www.zomato.com/bangalore/al-daaz-hsr/info,12.9207633849,77.6515194029
124,https://www.zomato.com/bangalore/mojo-pizza-2x-toppings-bannerghatta-road-bangalore/info,12.8911334843,77.5945429131
125,https://www.zomato.com/bangalore/byg-brewski-brewing-company-sarjapur-road-bangalore/info,12.9129040336,77.6828858256
126,https://www.zomato.com/bangalore/meghana-foods-koramangala-5th-block/info,12.9345128965,77.6161142439
127,https://www.zomato.com/bangalore/the-bier-library-koramangala-6th-block-bangalore/info,12.9389827298,77.6262697577
128,https://www.zomato.com/bangalore/hoot-sarjapur-road/info,12.9141491282,77.6783267409
129,https://www.zomato.com/SarjapurSocial/info,12.9100295081,77.6855392009
130,https://www.zomato.com/bangalore/xoox-brewmill-koramangala-5th-block-bangalore/info,12.9355347012,77.6152140275
131,https://www.zomato.com/bangalore/the-reservoire-koramangala-5th-block/info,12.9335528473,77.6222360507
132,https://www.zomato.com/bangalore/brew-and-barbeque-a-microbrewery-pub-marathahalli-bangalore/info,12.9799237691,77.6941135526
133,https://www.zomato.com/bangalore/stories-rajajinagar-bangalore/info,13.0085235727,77.5492112339
134,https://www.zomato.com/bangalore/the-druid-garden-sahakara-nagar/info,13.0634751054,77.5912354141
135,https://www.zomato.com/bangalore/the-fishermans-wharf-sarjapur-road/info,12.9144504336,77.6662544534
136,https://www.zomato.com/bhopal/sagar-gaire-fast-food-tt-nagar/info,23.2228073195,77.4093359311
137,https://www.zomato.com/bhopal/zam-zam-fast-food-1-peer-gate-area/info,23.2228073195,77.4093359311
